apps,process,bondmode,time
is,16,802.3ad-4NICs-layer2,26.18
is,16,802.3ad-4NICs-layer2,27.47
is,16,802.3ad-4NICs-layer2,30.49
is,16,802.3ad-4NICs-layer2,28.48
is,16,802.3ad-4NICs-layer2,27.07
is,16,802.3ad-4NICs-layer2,25.98
is,16,802.3ad-4NICs-layer2,26.78
is,16,802.3ad-4NICs-layer2,27.89
is,16,802.3ad-4NICs-layer2,27.04
is,16,802.3ad-4NICs-layer2,26.44
is,16,802.3ad-4NICs-layer2,27.96
is,16,802.3ad-4NICs-layer2,24.82
is,16,802.3ad-4NICs-layer2,28.1
is,16,802.3ad-4NICs-layer2,24
is,16,802.3ad-4NICs-layer2,28.73
is,16,802.3ad-4NICs-layer2,27.25
is,16,802.3ad-4NICs-layer2,27.74
is,16,802.3ad-4NICs-layer2,28.71
is,16,802.3ad-4NICs-layer2,26.11
is,16,802.3ad-4NICs-layer2,27.35
is,16,802.3ad-4NICs-layer2,27.96
is,16,802.3ad-4NICs-layer2,26.08
is,16,802.3ad-4NICs-layer2,26.75
is,16,802.3ad-4NICs-layer2,26.6
is,16,802.3ad-4NICs-layer2,26.78
is,16,802.3ad-4NICs-layer2,27.91
is,16,802.3ad-4NICs-layer2,26.63
is,16,802.3ad-4NICs-layer2,27.87
is,16,802.3ad-4NICs-layer2,27.42
is,16,802.3ad-4NICs-layer2,26.29
ft,16,802.3ad-4NICs-layer2,231.34
ft,16,802.3ad-4NICs-layer2,231.95
ft,16,802.3ad-4NICs-layer2,250.96
ft,16,802.3ad-4NICs-layer2,248.73
ft,16,802.3ad-4NICs-layer2,240.16
ft,16,802.3ad-4NICs-layer2,243.33
ft,16,802.3ad-4NICs-layer2,240.79
ft,16,802.3ad-4NICs-layer2,257.89
ft,16,802.3ad-4NICs-layer2,249.19
ft,16,802.3ad-4NICs-layer2,271.6
ft,16,802.3ad-4NICs-layer2,246.29
ft,16,802.3ad-4NICs-layer2,238.05
ft,16,802.3ad-4NICs-layer2,241.06
ft,16,802.3ad-4NICs-layer2,233.07
ft,16,802.3ad-4NICs-layer2,238
ft,16,802.3ad-4NICs-layer2,231.08
ft,16,802.3ad-4NICs-layer2,249.02
ft,16,802.3ad-4NICs-layer2,239.89
ft,16,802.3ad-4NICs-layer2,245.09
ft,16,802.3ad-4NICs-layer2,228.86
ft,16,802.3ad-4NICs-layer2,240.81
ft,16,802.3ad-4NICs-layer2,237.55
ft,16,802.3ad-4NICs-layer2,242
ft,16,802.3ad-4NICs-layer2,237.82
ft,16,802.3ad-4NICs-layer2,260.17
ft,16,802.3ad-4NICs-layer2,233.53
ft,16,802.3ad-4NICs-layer2,250.37
ft,16,802.3ad-4NICs-layer2,242.2
ft,16,802.3ad-4NICs-layer2,245.39
ft,16,802.3ad-4NICs-layer2,238.06
is,16,802.3ad-4NICs-layer2,28.64
is,16,802.3ad-4NICs-layer2,30.18
is,16,802.3ad-4NICs-layer2,30.9
is,16,802.3ad-4NICs-layer2,28.52
is,16,802.3ad-4NICs-layer2,29.24
is,16,802.3ad-4NICs-layer2,28.11
is,16,802.3ad-4NICs-layer2,29.64
is,16,802.3ad-4NICs-layer2,27.34
is,16,802.3ad-4NICs-layer2,27.09
is,16,802.3ad-4NICs-layer2,29.48
is,16,802.3ad-4NICs-layer2,29.06
is,16,802.3ad-4NICs-layer2,27.58
is,16,802.3ad-4NICs-layer2,28.53
is,16,802.3ad-4NICs-layer2,28.85
is,16,802.3ad-4NICs-layer2,29.7
is,16,802.3ad-4NICs-layer2,29.82
is,16,802.3ad-4NICs-layer2,28.05
is,16,802.3ad-4NICs-layer2,28.74
is,16,802.3ad-4NICs-layer2,29.86
is,16,802.3ad-4NICs-layer2,27.78
is,16,802.3ad-4NICs-layer2,31.69
is,16,802.3ad-4NICs-layer2,30.41
is,16,802.3ad-4NICs-layer2,30.12
is,16,802.3ad-4NICs-layer2,30.62
is,16,802.3ad-4NICs-layer2,28.99
is,16,802.3ad-4NICs-layer2,27.05
is,16,802.3ad-4NICs-layer2,28.4
is,16,802.3ad-4NICs-layer2,28.56
is,16,802.3ad-4NICs-layer2,28.4
is,16,802.3ad-4NICs-layer2,26.46
ft,16,802.3ad-4NICs-layer2,228.71
ft,16,802.3ad-4NICs-layer2,228.63
ft,16,802.3ad-4NICs-layer2,225.54
ft,16,802.3ad-4NICs-layer2,232.97
ft,16,802.3ad-4NICs-layer2,260.04
ft,16,802.3ad-4NICs-layer2,230.21
ft,16,802.3ad-4NICs-layer2,233.24
ft,16,802.3ad-4NICs-layer2,236.24
ft,16,802.3ad-4NICs-layer2,229.51
ft,16,802.3ad-4NICs-layer2,227.74
ft,16,802.3ad-4NICs-layer2,229.11
ft,16,802.3ad-4NICs-layer2,229.56
ft,16,802.3ad-4NICs-layer2,234.2
ft,16,802.3ad-4NICs-layer2,245.09
ft,16,802.3ad-4NICs-layer2,221.73
ft,16,802.3ad-4NICs-layer2,236.18
